tweet_id,text,context_annotations_count,count_annotations,count_cashtags,count_hashtags,count_mentions,count_urls,created_at_tweet,lang,likes,quotes,referenced_tweet_count,replies,reply_settings,retweets,source,terms,username,created_at_author,followers_count,following_count,tweet_count,listed_count,location,protected,verified,media_type,height,width,preview_image_url,country,name_place,place_type
1440484799970304000,This was my grandson this morning (w/autism)! Apparently he is going through a bout of bronchitis &amp; pneumonia he always gets it every year! My daughter said that she is sure she will have to take him to the hospital tonight but if they try to test him for covid she will walk out https://t.co/O7Krqjit3j,1,0.0,0.0,0.0,0.0,1.0,2021-09-22T01:15:13.000Z,en,14,0,0,8,everyone,0,Twitter for Android,covid%20autism,MacRaeLady,2012-10-27T02:37:45.000Z,2709,4999,96,15,"Victoria,  BC ",False,False,photo,405,813,https://pbs.twimg.com/media/E_2hSs4UcAAIOK5.jpg,Canada,Langford,city
1439618825171963904,"Wow!! Been into #York for the first time since Christmas shopping in Dec 2019. Took our daughter Cerys to the #CatCafe @TheCatsWhiskersYork to celebrate her 10th birthday. Perfectly relaxed, quiet, covid unfriendly AND #Autism friendly. She was in her happy place. 😍🐈‍⬛ https://t.co/qZCK6fZE0t",2,2.0,0.0,3.0,0.0,1.0,2021-09-19T15:54:09.000Z,en,7,0,0,0,everyone,0,Twitter for iPhone,covid%20autism,zoebarratt1,2014-02-18T21:25:52.000Z,140,735,99,0,"Hessay, York",False,False,photo,2048,1536,https://pbs.twimg.com/media/E_qNsE1X0AQmoK_.jpg,United Kingdom,Hessay,city
1248872872837332992,"Sad number of ppl who lost life due to covid-19 is far more than the number that it says on the news. Those who pass away in care homes, supported living or in the community are not counted. Give a thought of autistic people &amp; with learning disabilities- every life matters❤️ https://t.co/jJ6bqEupxe",3,0.0,0.0,0.0,0.0,1.0,2020-04-11T07:17:50.000Z,en,49,1,0,0,everyone,20,Twitter for iPhone,covid-19%20autistic,SteveHardyLDN,2012-01-02T10:40:18.000Z,7510,7260,100,103,"Maidstone, South East",False,False,photo,288,278,https://pbs.twimg.com/media/EVTjQcoXsAAlrfq.jpg,United Kingdom,Maidstone,city
1250729294051053568,Webinar now available‘Staying healthy at home during the coronavirus crisis’ deliver by Matthew Roberts and Steve Hardy #LearningDisability #autism #socialcare https://t.co/2VftHNrb7F https://t.co/DkOXG9sjRM,1,2.0,0.0,3.0,0.0,2.0,2020-04-16T10:14:35.000Z,en,3,0,0,0,everyone,1,Twitter for iPhone,coronavirus%20autism,SteveHardyLDN,2012-01-02T10:40:18.000Z,7510,7260,100,103,"Maidstone, South East",False,False,photo,2048,2048,https://pbs.twimg.com/media/EVt7pYTXkAMGzxj.jpg,United Kingdom,Maidstone,city
1249612131433095168,Webinar now available‘Staying healthy at home during the coronavirus crisis’ deliver by Matthew Roberts and Steve Hardy #LearningDisability #autism #socialcare https://t.co/2VftHNrb7F https://t.co/AUEvNGQt8D,1,2.0,0.0,3.0,0.0,2.0,2020-04-13T08:15:23.000Z,en,15,2,0,0,everyone,21,Twitter for iPhone,coronavirus%20autism,SteveHardyLDN,2012-01-02T10:40:18.000Z,7510,7260,100,103,"Maidstone, South East",False,False,photo,2048,2048,https://pbs.twimg.com/media/EVeDlp7X0AMuN6X.jpg,United Kingdom,Maidstone,city
1255217218339602432,Missed it? Watch it now https://t.co/YyTaUwGmQP #autism #COVID19 https://t.co/0bq8O0FHoB,1,0.0,0.0,2.0,0.0,2.0,2020-04-28T19:28:00.000Z,en,4,0,0,0,everyone,7,Twitter for iPhone,covid19%20autism,Kevin_Healey,2009-04-11T06:42:31.000Z,38632,25729,100,507,Stoke On Trent,False,True,photo,2048,1152,https://pbs.twimg.com/media/EWttZ3OXkAEX6JF.jpg,United Kingdom,Newcastle-under-Lyme,city
1254845970526941184,Join us ten am Tuesday we have a great show taking all things #autism and #coronavirus with @DrAmirKhanGP https://t.co/ekv7zKmIfy,1,0.0,0.0,2.0,0.0,1.0,2020-04-27T18:52:47.000Z,en,0,0,0,0,everyone,0,Twitter for iPhone,coronavirus%20autism,Kevin_Healey,2009-04-11T06:42:31.000Z,38632,25729,100,507,Stoke On Trent,False,True,video,1280,720,https://pbs.twimg.com/ext_tw_video_thumb/1254845884371816448/pu/img/MM23Co_fMvLM60WN.jpg,United Kingdom,Newcastle-under-Lyme,city
1262678985546309632,#tolerance #stressed #Autism #meltdown #shutdown #Covid_19 https://t.co/IwYQCO30pZ,1,0.0,0.0,6.0,0.0,1.0,2020-05-19T09:38:24.000Z,und,11,0,0,1,everyone,4,Twitter for Android,covid-19%20autism,DrHannahBelcher,2012-07-19T13:47:17.000Z,3330,1783,99,33,"Chelmsford, East",False,False,photo,921,960,https://pbs.twimg.com/media/EYXv13rWAAEl2Ht.jpg,United Kingdom,Chelmsford,city
1437585959290392576,"@KellDA He's on the autism spectrum, great kid, and wears his mask like he's robbing a stagecoach. Happened to be the only masked kid in the newsletter. But still...Covid gives no fucks. https://t.co/aRb3d70lI7",2,0.0,0.0,0.0,0.0,1.0,2021-09-14T01:16:16.000Z,en,0,0,1,0,everyone,0,Twitter for Android,covid%20autism,jim_mcb_99,2009-12-12T04:10:54.000Z,365,1782,2235,0,"North Georgia, USA",False,False,photo,687,652,https://pbs.twimg.com/media/E_NUz8aX0AAE5BT.jpg,United States,Georgia,admin
1246268415469391872,@BookerT5x My son has autism and is pretty much non-verbal except for a few words...I’m not sure how or why but whenever he is mad or wants something he starts running around saying Booker T Booker T! Soooo I’m gonna send him to you until this quarantine is over https://t.co/kVTwGp8tzc,3,1.0,0.0,0.0,0.0,1.0,2020-04-04T02:48:39.000Z,en,0,0,0,0,everyone,0,Twitter for iPhone,quarantine%20autism,SylvesterBarzey,2010-04-14T00:04:59.000Z,1331,2180,93,47,"Lawrenceville, GA",False,False,animated_gif,280,498,https://pbs.twimg.com/tweet_video_thumb/EUuihBcWsAA7YMm.jpg,United States,Georgia,admin
